"pitches","player_id","player_name","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance","pitcher_run_exp","run_exp","bat_speed","swing_length","miss_distance","pa","bip","singles","doubles","triples","hrs","so","k_percent","bb","bb_percent","api_break_z_with_gravity","api_break_z_induced","api_break_x_arm","api_break_x_batter_in","hyper_speed","bbdist","hardhit_percent","barrels_per_bbe_percent","barrels_per_pa_percent","release_pos_z","release_pos_x","plate_x","plate_z","obp","barrels_total","batter_run_value_per_100","xobp","xslg","pitcher_run_value_per_100","xbadiff","xobpdiff","xslgdiff","wobadiff","swing_miss_percent","arm_angle","attack_angle","attack_direction","swing_path_tilt","rate_ideal_attack_angle","intercept_ball_minus_batter_pos_x_inches","intercept_ball_minus_batter_pos_y_inches"
1186,805123,"Blubaugh, AJ",1186,100,0.217,0.164,0.256,0.381,0.303,0.308,0.215,53,244,87.4,18,2361,90.5,90.58,163,576,610,0.09999999999999432,6.43,110,148,114,149,291,325,294,"4.14","-4.14","69.2","7.1","3.55937993",286,183,32,11,1,9,69,24.1,32,11.2,1.97115,0.85564,0.50777,-0.24185,"91.2",182,35.16483516483517,8.241758241758241,5.244755244755245,6.06,-2.33,0.09,2.37,0.306,15,"-0.349072513",0.312,0.374,"0.349072513",0.002,-0.006000000000000005,0.007,-0.005,28.3,"42.6",8.48325614323505,1.3335251586858579,31.674578324736434,0.4110320284697509,37.644326252944076,29.183590487169585
1167,681035,"Scott, Christian",1168,99.9,0.215,0.143,0.289,0.359,0.303,0.309,0.225,51,237,86.2,16.7,2336,90.1,91.02,144,557,610,0.9000000000000057,6.92,111,150,121,150,303,321,302,"2.76","-2.76","70.0","6.9","2.422454314",271,159,32,11,1,7,78,28.8,29,10.7,2.04662,0.81154,0.06021,-0.13222,"91.1",172,33.9622641509434,6.918238993710692,4.059040590405904,5.26,-3.12,0.02,2.64,0.314,11,"-0.236503856",0.323,0.366,"0.236503856",-0.01,-0.009000000000000008,-0.007,-0.006,25.9,"29.7",6.16165705612944,2.74039058393369,31.45939192482773,0.42727272727272725,35.79857424341045,27.951091151124345
1162,678906,"Teng, Kai-Wei",1162,100,0.238,0.169,0.284,0.408,0.335,0.334,0.245,62,260,89.5,15.4,2488,88.3,88.11,129,512,650,-0.20000000000000284,6.32,111,148,110,150,291,323,291,"-7.386","7.386","70.0","7.2","3.505327492",301,193,40,10,2,10,67,22.3,30,10,2.58201,0.38511,-0.01111,-0.02941,"91.8",158,39.37823834196891,7.772020725388601,4.983388704318937,5.52,-2.38,0.22,2.35,0.342,15,"0.635628227",0.348,0.398,"-0.635628227",-0.007,-0.00599999999999995,0.01,0.001,25.2,"23.6",10.449864219968921,-0.7016847587877412,33.07311234635704,0.49295774647887325,35.96048900256913,30.19494332077029
1157,663372,"Feltner, Ryan",1157,100,0.267,0.235,0.282,0.502,0.362,0.366,0.269,74,277,88,12.2,2342,89.5,90.45,141,555,602,1,6.57,113,149,116,148,302,332,300,"-10.621","10.621","70.8","7.3","3.503384175",308,224,40,18,1,15,54,17.5,29,9.4,2.34582,0.50044,0.02401,-0.03916,"92.1",156,41.964285714285715,11.607142857142858,8.441558441558442,5.53,-1.64,0.1,2.33,0.338,26,"0.917977528",0.34,0.514,"-0.917977528",-0.002,-0.0020000000000000018,-0.012,-0.004,25.4,"43.8",10.989624933740444,-2.9121625462244847,32.22615101292435,0.4713493530499076,35.916623622377244,31.978117602078036
1151,837227,"Imai, Tatsuya",1152,99.9,0.229,0.156,0.295,0.385,0.334,0.344,0.229,50,218,89.1,12.4,2095,90.5,89.62,157,497,654,-0.9000000000000057,5.9,111,147,110,149,291,325,294,"-0.633","0.633","70.7","7.3","3.319000764",265,149,34,7,0,9,72,27.2,40,15.1,2.34633,0.47824,0.76199,-0.21024,"91.8",154,45.63758389261745,11.409395973154362,6.415094339622642,5.27,-1.92,-0.05,2.2,0.356,17,"0.054995656",0.359,0.411,"-0.054995656",0,-0.0030000000000000027,-0.026,-0.01,31.6,"25.4",10.001862725341189,-3.271459851546826,33.57885622038138,0.37214137214137216,36.09090620382918,31.390810615969386
1141,691725,"Painter, Andrew",1141,100,0.316,0.211,0.347,0.526,0.388,0.348,0.272,84,266,86.3,15.8,2284,90.4,90.75,124,555,586,0.29999999999999716,6.53,113,149,116,148,289,321,294,"-15.622","15.622","69.7","7.3","3.295274216",299,219,57,12,1,14,53,17.7,24,8,2.10693,0.72152,-0.02783,-0.08711,"91.4",148,35.15981735159817,9.58904109589041,7.023411371237458,6.46,-2.23,0.14,2.32,0.375,21,"1.369149869",0.337,0.464,"-1.369149869",0.044,0.03799999999999998,0.062,0.04,22.3,"46.4",11.542486861747173,-3.99807424023158,31.290241483013236,0.5191956124314442,36.58649569539874,32.438493136314456
1137,686790,"McDonald, Trevor",1138,99.9,0.255,0.129,0.297,0.384,0.323,0.312,0.246,69,271,88.7,3.4,2302,90,90.81,108,506,631,0.7999999999999972,6.7,112,148,114,148,297,320,298,"1.404","-1.404","69.9","7.5","4.25796319",310,217,49,12,1,7,57,18.4,23,7.4,2.82931,-0.00404,0.74618,-0.19158,"92.0",127,37.78801843317972,4.147465437788019,2.903225806451613,5.06,-2.14,0.08,2.08,0.338,9,"-0.12348285",0.332,0.359,"0.12348285",0.009,0.006000000000000005,0.025,0.011,21.3,"27.2",8.739163226241583,-0.7748471117961743,33.72609087334138,0.422,37.56737561356112,30.43792990001237
1117,694297,"Pfaadt, Brandon",1117,100,0.257,0.146,0.283,0.404,0.315,0.31,0.244,72,280,88.8,11.2,2447,88.9,89.33,110,545,572,0.3999999999999915,6.57,112,148,117,150,303,323,294,"2.63","-2.63","70.7","7.3","2.551442794",308,234,48,15,1,8,49,15.9,21,6.8,2.48561,0.42402,0.32015,-0.08871,"91.9",138,37.17948717948718,8.974358974358974,6.8181818181818175,5.49,-2.43,0.04,2.1,0.315,21,"-0.235452104",0.306,0.399,"0.235452104",0.013,0.009000000000000008,0.005,0.005,20.2,"28.1",9.982458366311743,-0.6772492456966575,33.592047894705395,0.5357142857142857,37.296346770989985,31.06897669475458
1108,656288,"Canning, Griffin",1109,99.9,0.286,0.191,0.339,0.477,0.371,0.341,0.253,69,241,90.4,11.1,2225,90.2,89.6,118,488,620,-0.6000000000000085,5.87,116,148,117,150,303,328,301,"-13.648","13.648","70.6","7.3","2.458276227",279,181,47,10,0,12,63,22.6,32,11.5,2.45672,0.35681,0.52302,-0.21116,"92.6",151,47.8021978021978,10.43956043956044,6.810035842293908,5.61,-1.04,0.1,2.28,0.372,19,"1.231768953",0.343,0.433,"-1.231768953",0.033,0.02899999999999997,0.044,0.03,24.2,"38.4",9.357650601884249,-2.101676115512372,32.80559763264036,0.5,36.39458838843663,31.12332344556302
1106,686799,"Kochanowicz, Jack",1111,99.5,0.259,0.124,0.289,0.382,0.331,0.359,0.273,65,251,88.9,4.3,2289,92.8,92.93,118,500,606,0.10000000000000853,6.33,111,149,117,150,305,331,302,"-2.343","2.343","70.8","7.2","2.323388102",296,208,50,6,2,7,47,15.9,36,12.2,2.29407,0.36671,0.66125,-0.12215,"92.4",128,43.627450980392155,7.352941176470589,5.0675675675675675,6.24,-1.42,0.08,2.18,0.358,15,"0.211844485",0.373,0.439,"-0.211844485",-0.014,-0.015000000000000013,-0.057,-0.028,23.6,"36.4",9.668138867996074,0.8424292766051535,33.8845328749085,0.4989733059548255,36.7956758842633,27.74749014386398
1087,666157,"Lodolo, Nick",1087,100,0.277,0.17,0.308,0.447,0.355,0.373,0.292,65,235,89.4,12.9,2277,89.7,89.4,106,504,583,-0.29999999999999716,6.22,106,151,115,147,296,321,288,"-5.318","5.318","69.6","7.2","3.911692909",279,193,44,11,1,9,50,17.9,27,9.7,2.5765,0.29824,0.95701,-0.66385,"92.1",169,39.784946236559136,8.064516129032258,5.376344086021505,5.32,3.71,-0.04,2.23,0.365,15,"0.489236431",0.384,0.466,"-0.489236431",-0.015,-0.019000000000000017,-0.019,-0.018,21,"14.5",8.344474633369906,0.20006034988942262,33.30874989901734,0.4213709677419355,37.637097219332524,29.949944197686012
1086,622663,"Severino, Luis",1086,100,0.258,0.174,0.321,0.432,0.345,0.318,0.231,61,236,88.1,11.2,2292,92.3,92.69,119,517,569,0.4000000000000057,6.61,114,148,116,149,302,326,299,"-6.282","6.282","69.6","7.0","2.02934611",271,173,40,10,2,9,65,24,31,11.4,1.87717,0.83884,0.08204,-0.02632,"91.5",157,38.72832369942196,8.670520231213873,5.535055350553505,5.81,-2.02,0.18,2.45,0.349,15,"0.578453039",0.326,0.388,"-0.578453039",0.027,0.022999999999999965,0.044,0.027,23,"39.1",5.476423884669664,3.6701519648348246,32.19791872539297,0.4209486166007905,35.496644350342066,25.92812347987272
1082,693686,"Miles, Spencer",1084,99.8,0.221,0.081,0.278,0.302,0.26,0.275,0.235,57,258,85.9,5.9,2449,90.6,91.09,98,519,563,0.5,6.72,111,148,115,150,290,318,289,"13.552","-13.552","69.4","6.9","2.174905275",278,193,46,6,0,5,66,23.7,19,6.8,2.61581,0.22814,0.3311,0.08443,"91.1",143,33.160621761658035,3.6269430051813467,2.5179856115107913,5.84,-1.19,0.17,2.53,0.274,7,"-1.252495379",0.287,0.33,"1.252495379",-0.014,-0.012999999999999956,-0.028,-0.015,18.9,"37.7",5.862449035743319,6.597515074576185,32.62651168175139,0.4107142857142857,35.756956558352776,25.763235006455584
1070,695611,"Jump, Gage",1074,99.6,0.268,0.157,0.341,0.426,0.334,0.313,0.25,63,235,89.4,15.5,2332,91.1,91.41,133,523,547,0.30000000000001137,6.44,108,149,117,147,299,323,293,"-2.741","2.741","70.2","7.1","2.390014306",267,171,40,16,0,7,68,25.5,25,9.4,2.09024,0.68752,0.20382,-0.22038,"91.8",165,40.93567251461988,5.847953216374268,3.7453183520599254,5.56,1.98,0,2.11,0.341,10,"0.256168224",0.325,0.385,"-0.256168224",0.018,0.016000000000000014,0.041,0.021,25.4,"43.2",6.501874215952917,2.7560935121993233,32.254464726307546,0.423728813559322,36.635976889930994,28.481546225010636
1065,543037,"Cole, Gerrit",1067,99.8,0.229,0.183,0.275,0.412,0.296,0.282,0.229,60,262,89.9,20.8,2375,91.9,91.72,115,521,544,-0.20000000000000284,6.25,115,148,118,151,288,327,294,"3.434","-3.434","70.4","7.2","2.125247216",279,189,35,13,1,11,73,26.2,14,5,2.03903,0.69739,0.42971,-0.22487,"91.6",174,41.84782608695652,9.782608695652174,6.451612903225806,5.79,-2.28,-0.1,2.26,0.271,18,"-0.322441315",0.272,0.372,"0.322441315",0,-0.0010000000000000009,0.04,0.014,22.1,"37.0",8.161170491947988,-0.1932866883995426,32.10192873686447,0.5,37.82818921149971,29.174314155515244
1060,676879,"Ashby, Aaron",1064,99.6,0.236,0.096,0.34,0.332,0.298,0.271,0.205,54,229,87.3,7.2,2253,92.3,91.15,135,429,631,-1.0999999999999943,5.51,112,150,120,149,299,324,300,"2.622","-2.622","68.1","7.3","5.819472525",263,149,42,7,0,5,82,31.2,30,11.4,2.64316,0.06454,0.51724,-0.24418,"91.8",140,39.59731543624161,4.697986577181208,2.6615969581749046,6.51,0.38,-0.09,1.96,0.327,7,"-0.247358491",0.301,0.294,"0.247358491",0.031,0.026000000000000023,0.038,0.027,31.5,"52.6",8.779492356471858,-1.7424793602756041,33.39650194043174,0.42857142857142855,37.84276791133214,30.48701672919399
1057,702273,"Schultz, Noah",1057,100,0.248,0.19,0.287,0.438,0.348,0.368,0.273,56,226,87.9,16.5,2522,90.8,90.94,96,464,593,0.10000000000000853,6.3,106,151,118,145,301,326,296,"-12.306","12.306","70.2","7.2","3.022336193",267,176,33,12,2,9,54,20.2,31,11.6,2.24092,0.54478,0.44268,-0.30338,"91.9",167,40,10.285714285714285,6.741573033707865,5.8,1.96,0.03,2.38,0.352,18,"1.164238411",0.375,0.464,"-1.164238411",-0.025,-0.02300000000000002,-0.026,-0.02,20.7,"20.9",8.469218599501653,-0.0980951471939216,32.02678712629379,0.4669603524229075,36.542814579590456,28.79046007499023
1040,608331,"Fried, Max",1040,100,0.202,0.062,0.261,0.263,0.244,0.247,0.198,49,243,85.4,8.3,2259,88.2,88.44,112,469,571,0.20000000000000284,6.49,106,149,123,149,291,322,287,"14.896","-14.896","69.1","7.0","2.508161135",271,186,37,10,1,1,61,22.5,22,8.1,2.71146,0.30046,0.11481,-0.09649,"91.2",136,31.351351351351354,1.6216216216216217,1.107011070110701,5.9,1.24,-0.01,2.42,0.27,3,"-1.432307692",0.273,0.26,"1.432307692",0.004,-0.0030000000000000027,0.003,-0.003,23.9,"45.5",7.209843192695463,2.085833168576864,30.906483528361843,0.45353982300884954,36.517410523000706,28.09664386463967
1033,623454,"Anderson, Drew",1035,99.8,0.244,0.162,0.316,0.406,0.321,0.283,0.209,57,234,89.4,9.5,2144,90.1,90.29,147,500,533,0.20000000000000284,6.49,114,149,117,149,295,328,297,"-2.086","2.086","69.8","7.1","2.531091058",265,163,37,11,0,9,74,27.9,24,9.1,2.70706,0.15374,0.30336,-0.02414,"91.7",149,39.50617283950617,7.4074074074074066,4.528301886792453,5.67,-2.13,-0.01,2.28,0.323,12,"0.201936108",0.295,0.335,"-0.201936108",0.035,0.028000000000000025,0.071,0.038,29.4,"41.3",7.377753551804363,1.6187010879108086,31.150552023437353,0.5070993914807302,36.39875593546198,28.07236685625549
1030,695418,"Lord, Brad",1035,99.5,0.227,0.118,0.265,0.345,0.291,0.316,0.246,50,220,87.6,3.1,2436,90.4,88.87,106,512,518,-1.5,5.36,111,148,119,150,302,327,300,"1.972","-1.972","69.4","6.9","2.058155399",248,169,38,5,0,7,52,21,21,8.5,2.45669,0.36158,0.75136,0.04115,"91.7",147,41.31736526946108,5.9880239520958085,4.032258064516129,5.34,-2.58,-0.01,2.3,0.308,10,"-0.191456311",0.326,0.393,"0.191456311",-0.019,-0.018000000000000016,-0.048,-0.025,20.7,"17.1",3.7124767901372393,8.535915106430531,33.47538014919143,0.3333333333333333,36.11408286637543,24.85097303391192
1025,608718,"Suter, Brent",1029,99.6,0.265,0.17,0.318,0.435,0.324,0.321,0.27,61,230,85.3,9.5,1984,83.1,84.54,107,481,544,1.4000000000000057,7.28,110,149,116,148,300,324,297,"-1.75","1.75","68.5","7.0","3.868198057",248,178,40,10,4,7,53,21.4,15,6,2.46317,0.90306,0.37977,-0.23416,"91.0",144,31.428571428571427,6.857142857142858,4.838709677419355,6.04,3.36,0.14,2.31,0.313,12,"0.170731707",0.318,0.422,"-0.170731707",-0.005,-0.0050000000000000044,0.013,0.003,22.2,"48.0",9.039779462786926,0.9475380888995507,32.27899464521548,0.40471092077087795,36.92677656900356,30.3373597615367
1024,688642,"Agnos, Zach",1032,99.2,0.298,0.19,0.322,0.488,0.366,0.362,0.294,74,248,88.7,15.4,2247,90.1,90.2,108,520,504,0.10000000000000853,6.12,112,149,120,148,303,333,300,"-13.351","13.351","70.1","7.3","4.363995855",281,214,45,19,2,8,39,13.9,24,8.5,2.27644,0.53244,0.14562,-0.05207,"92.4",174,42.05607476635514,8.411214953271028,6.405693950177936,5.76,-2.08,0.11,2.32,0.364,18,"1.303808594",0.364,0.472,"-1.303808594",0.004,0,0.016,0.004,20.8,"38.9",10.949107179283816,-2.7532187030121107,32.36233707733929,0.5822784810126582,36.70230380563858,31.220802181520693
1023,665871,"Assad, Javier",1028,99.5,0.237,0.178,0.239,0.415,0.305,0.331,0.269,57,241,89.6,13.8,2087,89.8,90.16,62,455,568,0.4000000000000057,6.53,112,149,115,150,299,325,298,"4.011","-4.011","70.3","7.1","2.577293518",262,202,38,7,0,12,42,16,16,6.1,2.18836,0.67272,0.4137,0.06804,"92.1",162,48.01980198019802,7.920792079207921,6.106870229007633,5.9,-1.77,0.17,2.23,0.288,16,"-0.392082111",0.32,0.443,"0.392082111",-0.032,-0.03200000000000003,-0.028,-0.026,13.6,"51.1",6.378007214039758,4.62493042376928,32.854559939316246,0.4575892857142857,37.01498090816343,27.233615943557645
1015,663978,"Paddack, Chris",1015,100,0.314,0.169,0.344,0.483,0.369,0.342,0.28,76,242,88,14.8,2035,87,87.64,109,509,506,0.5999999999999943,6.85,112,148,115,148,298,324,299,"-11.053","11.053","70.1","7.3","2.385086923",267,206,54,12,1,9,40,15,19,7.1,2.42201,0.65053,0.45109,-0.21054,"91.6",163,37.4384236453202,8.374384236453201,6.367041198501873,6.1,-2.18,0.08,2.24,0.366,17,"1.088965517",0.337,0.45,"-1.088965517",0.034,0.02899999999999997,0.033,0.027,21.4,"46.3",9.858078877860699,-1.147684628730246,32.4748232577114,0.5170340681362725,37.21385991719497,31.111944308975527
1009,674841,"Alvarez, Andrew",1009,100,0.268,0.114,0.352,0.382,0.328,0.327,0.261,59,220,89.5,8.3,2491,87.3,87.37,121,450,559,0.10000000000000853,6.26,106,149,118,149,303,331,302,"-1.555","1.555","69.8","7.4","4.561996787",252,164,41,13,3,2,58,23,28,11.1,2.96271,0.04509,-0.01817,0.08614,"92.4",124,43.90243902439025,5.487804878048781,3.571428571428571,6.41,1.37,-0.19,1.97,0.353,9,"0.154112983",0.35,0.381,"-0.154112983",0.007,0.0030000000000000027,0.001,0.001,26.9,"48.0",9.3543774949589,-2.8039801610461703,32.85959660668779,0.48036951501154734,34.855127246734604,31.53086634191545
1007,680573,"Woods Richardson, Simeon",1010,99.7,0.303,0.193,0.317,0.496,0.387,0.369,0.279,69,228,88.9,17.3,1970,88.4,89.01,79,429,578,0.5999999999999943,6.71,112,147,115,148,293,322,288,"-16.463","16.463","70.6","7.2","2.033027153",265,200,43,17,0,9,31,11.7,32,12.1,2.08747,0.86117,0.33288,-0.11881,"92.4",166,43,8.5,6.415094339622642,6.44,-1.22,0.01,2.08,0.392,17,"1.634856008",0.373,0.467,"-1.634856008",0.024,0.019000000000000017,0.029,0.018,18.4,"47.2",7.238276271982616,0.5941479406257064,31.831978894315498,0.4855769230769231,36.00981231469285,29.607361284799328
1004,676962,"Brown, Ben",1004,100,0.186,0.062,0.243,0.248,0.228,0.279,0.222,45,242,89.7,9.8,2177,92.5,92.98,129,473,531,0.5,6.55,112,150,115,152,300,324,301,"19.507","-19.507","69.6","7.2","4.008655924",265,179,35,7,1,2,65,24.5,19,7.2,2.04731,0.63552,0.475,0.00059,"92.1",154,43.258426966292134,7.303370786516854,4.905660377358491,6.34,-1.53,-0.14,2.29,0.249,13,"-1.942928287",0.286,0.335,"1.942928287",-0.036,-0.03699999999999998,-0.087,-0.051,27.3,"40.8",8.524357393497407,0.37023925103481387,32.02829480151755,0.4588744588744589,36.77156383748196,28.86060941416786
999,682243,"Miller, Bryce",1003,99.6,0.207,0.167,0.243,0.375,0.267,0.254,0.205,52,251,86.5,17.3,2173,90.9,91.11,155,565,434,0.19999999999998863,6.35,114,148,114,148,291,321,297,"8.825","-8.825","70.8","7.4","2.885782595",264,181,34,5,2,11,71,26.9,11,4.2,1.95464,0.83182,0.28888,-0.08078,"91.1",164,31.11111111111111,6.666666666666667,4.545454545454546,5.59,-1.14,0.26,2.17,0.243,12,"-0.883383383",0.242,0.345,"0.883383383",0.002,0.0010000000000000009,0.03,0.013,27.4,"45.5",11.814981852266706,-5.1288819757339885,32.042384349365506,0.5372050816696915,36.34882866267059,31.77792823026467
979,605135,"Bassitt, Chris",979,100,0.307,0.14,0.34,0.447,0.366,0.344,0.284,70,228,86.8,9.6,2160,84.8,84.69,95,449,530,-0.09999999999999432,6.28,110,148,116,148,293,318,301,"-9.997","9.997","68.4","6.9","2.967062438",261,194,50,14,0,6,37,14.2,22,8.4,3.16637,0.14013,0.21603,-0.06671,"91.6",142,34.5360824742268,4.123711340206185,3.065134099616858,5.38,-1.65,0.03,2.43,0.383,8,"1.021144025",0.365,0.407,"-1.021144025",0.023,0.018000000000000016,0.04,0.022,21.2,"29.9",7.502098838775811,-0.9721815644497552,32.735198656198634,0.3826879271070615,34.91577167696484,30.61014459378698
973,675512,"Melton, Troy",973,100,0.174,0.144,0.195,0.318,0.252,0.281,0.22,41,236,88.7,13.6,2194,91.8,92.91,124,477,496,1.1000000000000085,6.82,116,149,118,151,294,330,300,"13.7","-13.7","71.0","7.4","2.766789232",260,177,23,10,0,8,60,23.1,21,8.1,2.11242,0.6132,0.10095,0.0652,"91.9",145,36.15819209039548,6.214689265536723,4.230769230769231,5.62,-1.71,-0.07,2.17,0.246,11,"-1.408016444",0.289,0.341,"1.408016444",-0.046,-0.04299999999999998,-0.023,-0.029,26,"38.8",10.073373168015529,-3.437994198657958,32.79547411848508,0.5415778251599147,35.71686828842663,31.34431277710017
955,571510,"Boyd, Matthew",955,100,0.249,0.124,0.305,0.373,0.306,0.323,0.256,56,225,89.1,13.5,2203,85.4,85.23,123,469,486,-0.20000000000000284,6.25,108,152,118,150,302,325,296,"3.764","-3.764","69.5","7.4","4.200941425",246,170,40,10,0,6,55,22.4,17,6.9,2.67843,0.52846,0.82675,-0.59912,"92.0",159,41.76470588235294,9.411764705882353,6.504065040650407,5.38,2.43,0.05,2.27,0.313,16,"-0.394136126",0.319,0.42,"0.394136126",-0.007,-0.006000000000000005,-0.047,-0.017,26.2,"23.7",10.470966325108366,-3.640602186433907,32.29799021625222,0.4282608695652174,38.85210769953869,32.94389805482271
949,663623,"Irvin, Jake",949,100,0.241,0.156,0.304,0.397,0.325,0.349,0.248,48,199,89.4,14.1,2381,86.9,88.35,112,436,513,1.5,7.19,113,148,120,151,305,326,303,"-1.114","1.114","70.5","7.2","3.655324921",228,142,31,10,0,7,58,25.4,22,9.6,2.52565,0.55262,0.11166,0.09611,"92.0",158,45.774647887323944,11.971830985915492,7.456140350877193,5.43,-2.11,0.24,2.25,0.333,17,"0.117386723",0.34,0.457,"-0.117386723",-0.007,-0.007000000000000006,-0.06,-0.024,25.7,"26.8",10.811901359986097,-2.7652779391788225,33.08226392010589,0.39953271028037385,36.54298908498715,32.490423824595275
945,660761,"Suarez, José",949,99.6,0.274,0.137,0.356,0.41,0.336,0.298,0.247,58,212,87.3,15.3,2303,87.1,86.62,129,462,483,-0.5,5.93,110,147,117,146,300,323,297,"-0.104","0.104","70.0","7.4","3.000859723",241,156,39,14,0,5,59,24.5,23,9.5,2.39429,0.64494,0.4743,-0.15999,"91.3",153,33.5483870967742,1.935483870967742,1.2448132780082988,5.75,1.74,-0.1,2.09,0.351,3,"0.011005291",0.329,0.334,"-0.011005291",0.027,0.021999999999999964,0.076,0.038,27.9,"41.4",11.51544884737381,-3.933188014743493,33.2457614840205,0.45433255269320844,36.52996644047728,32.387552260468595
944,688107,"Gasser, Robert",944,100,0.241,0.214,0.266,0.455,0.326,0.3,0.236,53,220,85.5,20.5,2274,88.1,89.1,111,486,458,1,6.89,112,151,122,149,304,328,301,"-2.684","2.684","69.8","7.2","2.461523894",242,171,29,12,1,11,52,21.5,14,5.8,2.33234,0.63815,0.23618,-0.10541,"91.1",167,30.409356725146196,6.432748538011696,4.545454545454546,5.04,2.68,-0.07,2.34,0.3,11,"0.284322034",0.296,0.387,"-0.284322034",0.005,0.0040000000000000036,0.068,0.026,22.8,"23.6",8.516664093552647,-1.6456455195622106,32.785707329044804,0.5128805620608899,36.51053609382982,30.704959899626846
942,702275,"Ritchie, JR",946,99.6,0.217,0.167,0.241,0.384,0.324,0.336,0.235,43,198,89,11.5,2339,89,89.41,92,388,554,0.4000000000000057,6.49,115,148,119,150,302,322,303,"-4.284","4.284","70.5","7.2","2.345353201",236,150,28,6,0,9,49,20.8,33,14,2.78303,0.11813,0.28512,-0.01486,"91.8",135,38,8.666666666666668,5.508474576271186,5.39,-2.07,0.08,2.31,0.339,13,"0.45477707",0.354,0.402,"-0.45477707",-0.018,-0.014999999999999958,-0.018,-0.012,23.7,"25.3",10.325848367381639,-1.7908449462683729,32.093508600461895,0.5370370370370371,36.09261515008904,31.607554948298066
942,685299,"Gordon, Tanner",950,99.2,0.315,0.265,0.356,0.58,0.394,0.334,0.259,75,238,90.3,18.4,2166,88.3,88.47,112,476,466,0.20000000000000284,6.18,113,149,119,148,301,331,299,"-13.916","13.916","70.9","7.3","1.885882742",257,189,39,22,1,13,53,20.6,13,5.1,2.11101,0.81378,0.57022,-0.06533,"92.1",183,43.386243386243386,11.64021164021164,8.560311284046692,6.26,-2.81,-0.02,2.27,0.353,22,"1.477282378",0.304,0.473,"-1.477282378",0.056,0.04899999999999999,0.107,0.06,23.5,"43.4",9.086924971969275,0.04221519760799414,33.362508739365005,0.47844827586206895,36.600441160546325,29.87448627221049
942,615698,"Quantrill, Cal",946,99.6,0.246,0.143,0.264,0.388,0.31,0.326,0.25,55,224,87.5,18.1,1946,89.9,90.11,87,450,492,0.19999999999998863,6.37,112,148,113,149,298,326,301,"1.551","-1.551","70.0","7.1","1.595030567",249,186,39,8,0,8,39,15.7,18,7.2,2.16289,0.6742,0.57863,-0.07332,"91.4",162,34.75935828877005,8.55614973262032,6.425702811244979,6.26,-1.38,-0.24,2.53,0.315,16,"-0.164649682",0.319,0.431,"0.164649682",-0.004,-0.0040000000000000036,-0.043,-0.016,19.3,"43.7",7.9029490156305595,3.3153154191405596,31.685887126913666,0.48498845265588914,37.0206082831965,28.339233674023184
940,571927,"Matz, Steven",940,100,0.264,0.236,0.272,0.5,0.352,0.361,0.286,56,212,88.7,15,2264,87.3,87.38,95,451,489,0.10000000000000853,6.51,103,151,115,148,305,335,296,"-8.068","8.068","70.8","7.3","2.611744819",235,174,32,10,2,12,41,17.4,19,8.1,2.67032,0.38442,0.82097,-0.39437,"91.5",166,36.206896551724135,12.643678160919542,9.361702127659575,5.74,2.1,0,2.27,0.323,22,"0.858297872",0.345,0.494,"-0.858297872",-0.022,-0.021999999999999964,0.006,-0.009,21.1,"34.0",8.635550969016846,0.5948814655962796,32.46594447137748,0.5206422018348624,37.13787546050067,29.924865909819818
933,670990,"Ramírez, Yohan",964,96.8,0.215,0.127,0.288,0.341,0.305,0.302,0.226,44,205,83.8,8.9,2443,90.3,91.29,110,421,512,1,6.93,112,146,116,147,297,322,296,"3.612","-3.612","67.9","7.1","3.733631856",248,143,26,14,0,4,62,25,33,13.3,2.44152,0.39954,-0.04912,0.14846,"90.9",137,30.76923076923077,5.594405594405594,3.225806451612903,5.2,-2.83,0.06,2.29,0.351,8,"-0.387138264",0.36,0.317,"0.387138264",-0.011,-0.009000000000000008,0.024,0.003,26.1,"25.9",7.680079382873589,-1.9854920448107922,32.944020403468684,0.42053789731051344,35.59064937492857,29.83699544592299
929,666171,"Zeferjahn, Ryan",941,98.7,0.16,0.131,0.23,0.291,0.278,0.274,0.164,28,175,89.1,16.1,2433,91.2,91.72,128,367,562,0.5,6.69,110,149,117,149,305,328,300,"7.613","-7.613","70.1","7.2","2.779593065",216,105,16,6,1,5,71,32.9,31,14.4,2.08966,0.69765,-0.27663,0.0225,"91.6",155,36.19047619047619,5.714285714285714,2.7777777777777777,5.65,-2.14,0.06,2.33,0.312,6,"-0.819483315",0.317,0.268,"0.819483315",-0.004,-0.0050000000000000044,0.023,0.004,34.9,"36.2",7.880966038996751,-0.09252358848685545,32.85426870873633,0.4273743016759777,35.75387347754771,29.580685709342298
