"last_name, first_name","player_id","year","player_age","k_percent","bb_percent","in_zone_percent","whiff_percent","groundballs_percent","flyballs_percent","popups_percent","pitch_hand","arm_angle","n_ff_formatted","ff_avg_speed","ff_avg_spin","ff_avg_break_x","ff_avg_break_z","ff_avg_break_z_induced","ff_avg_break","ff_range_speed","n_sl_formatted","sl_avg_speed","sl_avg_spin","sl_avg_break_x","sl_avg_break_z","sl_avg_break_z_induced","sl_avg_break","sl_range_speed","n_ch_formatted","ch_avg_speed","ch_avg_spin","ch_avg_break_x","ch_avg_break_z","ch_avg_break_z_induced","ch_avg_break","ch_range_speed","n_cu_formatted","cu_avg_speed","cu_avg_spin","cu_avg_break_x","cu_avg_break_z","cu_avg_break_z_induced","cu_avg_break","cu_range_speed","n_si_formatted","si_avg_speed","si_avg_spin","si_avg_break_x","si_avg_break_z","si_avg_break_z_induced","si_avg_break","si_range_speed","n_fc_formatted","fc_avg_speed","fc_avg_spin","fc_avg_break_x","fc_avg_break_z","fc_avg_break_z_induced","fc_avg_break","fc_range_speed","n_fs_formatted","fs_avg_speed","fs_avg_spin","fs_avg_break_x","fs_avg_break_z","fs_avg_break_z_induced","fs_avg_break","fs_range_speed","n_kn_formatted","kn_avg_speed","kn_avg_spin","kn_avg_break_x","kn_avg_break_z","kn_avg_break_z_induced","kn_avg_break","kn_range_speed","n_st_formatted","st_avg_speed","st_avg_spin","st_avg_break_x","st_avg_break_z","st_avg_break_z_induced","st_avg_break","st_range_speed","n_sv_formatted","sv_avg_speed","sv_avg_spin","sv_avg_break_x","sv_avg_break_z","sv_avg_break_z_induced","sv_avg_break","sv_range_speed","n_fo_formatted","fo_avg_speed","fo_avg_spin","fo_avg_break_x","fo_avg_break_z","fo_avg_break_z_induced","fo_avg_break","fo_range_speed","n_sc_formatted","sc_avg_speed","sc_avg_spin","sc_avg_break_x","sc_avg_break_z","sc_avg_break_z_induced","sc_avg_break","sc_range_speed"
"Gausman, Kevin",592332,2026,35,23.1,6.5,45.3,27,40.3,25.2,9.3,"R",37.3,"51.4","94","2280","-10.9","-14.2","16.9","20.2","1.7","10","84.2","2266","0.9","-34.9","3.6","4.2","1.8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"38.6","84.1","1574","-13.6","-34.2","4.5","14.9","1.6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Rodriguez, Eduardo",593958,2026,33,17.1,8,46.5,20.6,41.6,27.8,5.9,"L",43.4,"39.4","92","2292","6.5","-16.5","15.8","17.2","1.3",,,,,,,,,"26.8","85.7","1866","15.6","-31.3","6","16.9","1.7","12.5","79.6","2305","-4.9","-49","-5.9","7.9","2","8.7","91.5","2237","12.1","-19.7","13","17.9","1.2","12.6","88.6","2282","-1.9","-26.4","8.3","8.8","1.4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Williams, Gavin",668909,2026,26,32.3,7.2,49.1,31.2,45.3,25.3,6.4,"R",32.2,"25.5","97.4","2300","-10.9","-14.6","14.4","18.1","1.7",,,,,,,,,,,,,,,,,"21.3","82.7","2450","10.5","-54.2","-13.8","17.4","1.5","17.5","96.8","2047","-15.7","-20.1","9.1","18.2","1.6","7.1","92.3","2228","-1.7","-25.7","6.5","7","1.5",,,,,,,,,,,,,,,,,"28.5","87.5","2287","10.7","-36.3","-0.5","11.1","1.6",,,,,,,,,,,,,,,,,,,,,,,,
"Sánchez, Cristopher",650911,2026,29,28,5.4,46.1,32.9,57.6,16.9,3.3,"L",31.2,,,,,,,,,"19.4","86.3","2069","-1.3","-40.6","-3.7","4.3","1.5","37.5","87","2034","16.7","-36.8","-0.6","16.9","1.4",,,,,,,,,"43.1","95.1","2128","18.1","-26","4.3","18.7","1.2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Gilbert, Logan",669302,2026,29,26.4,5.8,49.5,29.9,39.2,29.7,8.2,"R",43.2,"39.5","96.1","2206","-6.3","-12.5","17.1","18.4","1.4","24.8","86.6","2106","1.1","-38.4","-2","3.2","1.6","7.2","85.5","1497","-15.2","-35.3","2.2","15.7","1.6","0.1","76.5","2342","19.8","-49.6","-2.5","20","1.4","0.5","93","2023","-14.1","-26.3","5.4","15.3","1.5","6.6","91.1","2335","3.8","-21.7","11.1","12","1.6","13.6","81.8","707","-4","-43.5","-2.4","6.9","2",,,,,,,,,"7.7","81","2368","15.2","-45.6","-3.5","15.8","1.8",,,,,,,,,,,,,,,,,,,,,,,,
"Misiorowski, Jacob",694819,2026,24,40.6,6,52,38.3,46.2,24.6,8.5,"R",29.9,"63.9","100.6","2628","-11","-11.7","15.4","19","2","10.8","91.9","2508","3.5","-29.8","2.5","6.7","2.3","1.4","92.5","2037","-15.7","-26.8","5","16.6","1.5","10.6","88","2233","5.9","-43.6","-8.2","10.4","1.7",,,,,,,,,"13.2","96","2581","1.5","-22.5","7.1","7.6","1.4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Martinez, Nick",607259,2026,35,14.1,3.6,52.4,17.4,36.8,29,9.1,"R",55.1,"11.9","92.7","2262","-5.7","-15.1","16.8","17.8","1.2","3.6","85.5","2413","1.6","-33.9","3.4","4","1.4","27.5","78.2","1855","-12.2","-41.4","3.3","12.9","1.2","5.3","80","2511","1","-57.6","-14.6","14.8","1.2","30.7","92.4","2291","-15.1","-19.6","12.6","19.8","1","20.9","89.2","2328","1.3","-23.2","11.1","11.3","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Nola, Aaron",605400,2026,33,23.7,7.9,44.1,27.5,40.2,28.6,7,"R",19.5,"23.8","92.3","2346","-13","-17.5","14.6","19.7","1.3","1","83.2","2312","3.5","-39.8","-0.5","4","1.3","16.1","85.5","1553","-14.5","-34.4","2.8","14.9","1.2","32.8","78.3","2622","14.7","-55.3","-10.3","18.1","1.1","18.9","91.6","2260","-17.5","-24.4","8.2","19.4","1.5","7.3","86.2","2289","0.5","-28.8","7.7","8.1","1.3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Schlittler, Cam",693645,2026,25,31.4,5.4,49.8,28.6,42.3,27.6,8.1,"R",43.3,"44.2","97.9","2518","-5.4","-11.6","16.9","17.9","1.3","1.2","89.6","2512","6.7","-29.7","4.5","8.8","1.5",,,,,,,,,"8.7","86","2538","5.3","-47.5","-10.5","12","2.1","20.1","97.8","2352","-13.7","-17.7","10.9","17.7","1.4","25.7","94.7","2573","5.5","-19.8","10.5","12.2","1.6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Gray, Sonny",543243,2026,36,21.6,6.5,46.7,22.7,47.2,22.9,4.1,"R",47.2,"17.6","91.7","2469","0.7","-21","11.2","11.4","1",,,,,,,,,"5","86.1","1717","-13.4","-32.7","4","14.2","1.3","16.8","79.7","2598","12.9","-57.9","-14.4","19.4","1.3","21","92.1","2348","-11.4","-25","7.2","13.7","1.2","19.5","88.4","2623","4.2","-31.3","3.4","6.1","1.2",,,,,,,,,,,,,,,,,"20.1","84.9","2676","13.5","-42.6","-4.7","14.5","1.1",,,,,,,,,,,,,,,,,,,,,,,,
"Bradish, Kyle",680694,2026,29,22.6,10.1,43.8,24.8,48.7,22.7,7,"R",53,"17.5","94","2401","1.9","-17.6","13.2","13.6","1.4","25.9","87.3","2615","13","-36.1","-0.1","13.3","1.7",,,,,,,,,"22","84.7","2658","6.8","-51.4","-13.1","14.9","1.6","34.7","94.7","2176","-11.2","-17.8","12.8","17.3","1.6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Luzardo, Jesús",666200,2026,28,29.7,7.4,46.9,31.8,51.9,20.9,4.9,"L",29.8,"24.7","97","2233","11.8","-15.5","13.8","18.3","1.4",,,,,,,,,"18.5","86","1668","15.4","-35.1","2","15.8","1.5",,,,,,,,,"18.6","95.8","2227","17.8","-23.9","6.1","19","1.7",,,,,,,,,,,,,,,,,,,,,,,,,"38.1","86.1","2431","-8.6","-38.1","-1","9.5","2",,,,,,,,,,,,,,,,,,,,,,,,
"Ryan, Joe",657746,2026,30,26.4,5.2,51.4,25.5,36.5,29.2,10.5,"R",23.6,"45.6","93.4","2285","-13.3","-18.1","13.4","19","1.5","6.2","86.1","2321","1.3","-32.6","4.2","5","1.6",,,,,,,,,"11.6","79","2764","13.1","-53.3","-9.2","16.1","1.7","9.6","93.1","2176","-17.3","-22.9","8.7","19.5","1.5",,,,,,,,,"12.5","87.9","2136","-16.7","-32.4","3.1","17.2","1.7",,,,,,,,,"14.5","80.5","2765","14.4","-41.3","1.2","14.7","1.7",,,,,,,,,,,,,,,,,,,,,,,,
"Skenes, Paul",694973,2026,24,30,6.7,46.7,28.4,42.4,23.8,9.1,"R",25.7,"41","96.8","2173","-12.6","-16.2","12.9","18.2","1","7.4","86.7","2312","3.6","-34.9","1.3","4.4","1.4","13.6","88.7","1840","-15.4","-28.3","6.5","16.8","1.1","0.4","81.8","2422","10.9","-48.9","-7.9","13.6","1.5","10.6","96.6","2154","-17","-21.9","7.5","18.7","1",,,,,,,,,"11.2","93.3","1643","-13.3","-29.7","1.7","13.7","1.1",,,,,,,,,"15.8","84.3","2341","10.2","-32.9","5.7","12.4","1.4",,,,,,,,,,,,,,,,,,,,,,,,
"Weathers, Ryan",677960,2026,26,25.9,7,46.4,27.3,48.7,21.8,4.6,"L",32.9,"23.3","95.8","2382","10.9","-14.7","15.4","18.9","1.4","12.3","86.9","2651","-3.8","-34.9","1.2","4.7","1.8","24.9","85.7","1947","12.4","-36.7","0.7","12.7","1.5",,,,,,,,,"19.2","94.1","2283","17.7","-22.5","8.5","19.8","1.5",,,,,,,,,,,,,,,,,,,,,,,,,"20.3","81.2","2627","-13.5","-41.2","0.5","13.8","1.7",,,,,,,,,,,,,,,,,,,,,,,,
"McGreevy, Michael",700241,2026,25,16.6,6.2,46.3,18.7,43.7,27.3,4,"R",33.2,"25.3","91.8","2237","-8.4","-19.9","12.5","15.2","1.3","4.7","83.6","2405","3.6","-40.7","-1.8","4.7","1.3","19.7","86.8","1729","-13.5","-34.4","2.1","13.9","1.2","11.9","78.3","2516","12.8","-56.8","-11.8","17.6","1.5","16.6","90.7","2188","-12","-28.4","4.8","13.3","1.3","11.7","87.3","2316","1.3","-29.5","6.3","6.8","1.5",,,,,,,,,,,,,,,,,"10.1","81.6","2453","14","-42.8","-1.7","14.3","1.3",,,,,,,,,,,,,,,,,,,,,,,,
"Soriano, José",667755,2026,27,24.2,11.2,43.7,31.2,52.1,21.5,3.7,"R",34.4,"23.1","97.2","2183","-9.7","-15.7","13.4","16.7","1.4","4.5","90.2","2339","1","-30.5","3.2","3.7","1.6",,,,,,,,,"25.9","85.4","2359","12.2","-44.2","-6.5","14","1.4","27.6","96.4","1927","-15","-26","3.5","15.7","1.3",,,,,,,,,"18.9","92.3","1618","-13.7","-31.3","0.9","14.1","1.4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Burns, Chase",695505,2026,23,28.5,9.2,43.9,31.7,37,28.9,9.6,"R",52.7,"56.3","97.6","2625","-3.5","-10.2","18.6","19.1","1.4","38.4","90.2","2767","3.2","-33.2","0.3","4","1.8","5.3","90","1857","-15.2","-23.8","10.1","18.3","1.4","0","81.9","2717","0.8","-46.2","-5.5","5.5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Peralta, Freddy",642547,2026,30,21.8,9,43.1,26.1,40.9,26.6,7.9,"R",33.1,"53","94.2","2422","-7","-14.5","16.5","18.1","1.7","5.3","83.1","2348","2.8","-36","3.6","5.6","1.6","21.8","87.2","1951","-17.4","-33.1","3","17.8","1.2","14.3","78.9","2294","5","-47.9","-3.9","6.7","2.3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5.6","81.8","2499","11.2","-35.7","5.2","12.6","1.7",,,,,,,,,,,,,,,,,,,,,,,,
"Griffin, Foster",656492,2026,30,22.1,5.8,48,23.7,44.8,26.3,6,"L",44.9,"16.4","91.5","2091","4.5","-16.5","16.1","16.9","1.3",,,,,,,,,"10.6","82.3","1873","14.3","-32.6","7.8","16.5","1.2","9.9","77.8","2356","-8.6","-59.3","-13.9","16.4","1.4","10.3","91.3","2039","14.5","-22.5","10.3","17.9","1.1","32.4","88.3","2256","-4.7","-27.4","7.4","9.1","1.3","6","81.3","1319","0.5","-41.1","0.9","3.5","1",,,,,,,,,"14.4","79.9","2533","-17","-44.2","-1.2","17.2","1.3",,,,,,,,,,,,,,,,,,,,,,,,
"Bradley, Taj",671737,2026,25,26.6,9.9,48.1,26.3,35.1,29.7,8.3,"R",56.1,"46.4","97.1","2311","-5.5","-10.7","18.4","19.3","1.6",,,,,,,,,,,,,,,,,"9.3","82.4","2406","3.9","-53.6","-13.2","13.9","1.9",,,,,,,,,"24.4","89.8","2187","4.7","-29.6","4.2","6.9","1.5","20","91.5","1740","-10.7","-26.3","6.2","12.5","1.7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Woo, Bryan",693433,2026,26,24.4,5.2,51.3,24.7,38.4,29.1,8.8,"R",24.1,"47.4","96","2277","-10.7","-15.2","14.6","18.2","1.1","15.3","87","2215","2.5","-34.3","1.6","3.5","1.6","6.4","89.5","1952","-15.8","-31.3","2.8","16.2","1.3","1.6","82.7","2306","5.8","-45.7","-6","8.5","1.5","18.4","95.7","2277","-16.4","-24.5","5.4","17.4","1.2",,,,,,,,,,,,,,,,,,,,,,,,,"11","84.4","2482","10.4","-34.7","3.6","11.8","1.7",,,,,,,,,,,,,,,,,,,,,,,,
"Detmers, Reid",672282,2026,26,28.2,7.8,49.5,29.3,36.9,30.6,8.9,"L",41.4,"45.3","94.1","2147","9.3","-14.1","17","19.5","1.2","32.4","86.1","2447","-3.5","-40.7","-3.7","5.7","1.5","10","83.7","1635","12.2","-28.4","10.8","16.7","1.9","11","72.3","2517","-11.7","-67.9","-14.7","18.9","1.5","1.3","93.5","2095","14.9","-17.7","13.7","20.3","1.4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"May, Dustin",669160,2026,28,23.1,7.9,48.9,23,43.4,23.5,7.3,"R",33.8,"25.9","96.9","2327","-9.8","-14.3","15","18","1.2",,,,,,,,,"7","90.3","1625","-15.9","-29.7","4","16.8","1.4","6.6","83.4","3109","9.3","-55.4","-15.6","18.3","1.5","18","96.6","2370","-17.5","-23.6","5.8","18.6","1.2","23.3","93.3","2454","1.1","-21.9","9.4","9.7","1.2",,,,,,,,,,,,,,,,,"19.1","86","3154","16.1","-41.2","-3.8","16.7","1.2",,,,,,,,,,,,,,,,,,,,,,,,
