"last_name, first_name","player_id","year","player_age","k_percent","bb_percent","in_zone_percent","whiff_percent","groundballs_percent","flyballs_percent","popups_percent","pitch_hand","arm_angle","n_ff_formatted","ff_avg_speed","ff_avg_spin","ff_avg_break_x","ff_avg_break_z","ff_avg_break_z_induced","ff_avg_break","ff_range_speed","n_sl_formatted","sl_avg_speed","sl_avg_spin","sl_avg_break_x","sl_avg_break_z","sl_avg_break_z_induced","sl_avg_break","sl_range_speed","n_ch_formatted","ch_avg_speed","ch_avg_spin","ch_avg_break_x","ch_avg_break_z","ch_avg_break_z_induced","ch_avg_break","ch_range_speed","n_cu_formatted","cu_avg_speed","cu_avg_spin","cu_avg_break_x","cu_avg_break_z","cu_avg_break_z_induced","cu_avg_break","cu_range_speed","n_si_formatted","si_avg_speed","si_avg_spin","si_avg_break_x","si_avg_break_z","si_avg_break_z_induced","si_avg_break","si_range_speed","n_fc_formatted","fc_avg_speed","fc_avg_spin","fc_avg_break_x","fc_avg_break_z","fc_avg_break_z_induced","fc_avg_break","fc_range_speed","n_fs_formatted","fs_avg_speed","fs_avg_spin","fs_avg_break_x","fs_avg_break_z","fs_avg_break_z_induced","fs_avg_break","fs_range_speed","n_kn_formatted","kn_avg_speed","kn_avg_spin","kn_avg_break_x","kn_avg_break_z","kn_avg_break_z_induced","kn_avg_break","kn_range_speed","n_st_formatted","st_avg_speed","st_avg_spin","st_avg_break_x","st_avg_break_z","st_avg_break_z_induced","st_avg_break","st_range_speed","n_sv_formatted","sv_avg_speed","sv_avg_spin","sv_avg_break_x","sv_avg_break_z","sv_avg_break_z_induced","sv_avg_break","sv_range_speed","n_fo_formatted","fo_avg_speed","fo_avg_spin","fo_avg_break_x","fo_avg_break_z","fo_avg_break_z_induced","fo_avg_break","fo_range_speed","n_sc_formatted","sc_avg_speed","sc_avg_spin","sc_avg_break_x","sc_avg_break_z","sc_avg_break_z_induced","sc_avg_break","sc_range_speed"
"King, Michael",650633,2026,31,21.5,9.8,47,25.7,44.7,26.5,8.6,"R",24.7,"19.1","94.1","2336","-7.8","-16","15","17.2","1.2","4.6","84.8","2502","3.9","-36.8","1.4","5.1","1.6","28.2","86.3","1866","-16.9","-32.4","4.4","17.6","1.1",,,,,,,,,"27.9","93","2240","-17.1","-27","4.9","18","1.3",,,,,,,,,,,,,,,,,,,,,,,,,"20.2","82.1","2813","12.9","-37.8","3","13.6","1.6",,,,,,,,,,,,,,,,,,,,,,,,
"Cavalli, Cade",676917,2026,27,25.5,7.1,49.1,25.3,50.8,23.6,3.3,"R",36.2,"33.8","96.8","2300","-6","-14.5","14.6","15.9","1.4",,,,,,,,,"7.8","88.9","1951","-17.3","-30.1","4.6","18.1","1.5","26.9","85.8","2238","7.7","-48.1","-10.9","13.5","2","14","96.1","2149","-14.7","-21.8","7.7","16.8","1.4","5.3","93.5","2286","1.3","-22.6","8.3","8.7","2",,,,,,,,,,,,,,,,,"12.2","86","2286","14.5","-45.1","-7.9","16.7","1.6",,,,,,,,,,,,,,,,,,,,,,,,
"Baz, Shane",669358,2026,27,20.4,7.9,49.9,22.1,39,26.1,5.6,"R",37.5,"34.2","95.9","2399","-9.2","-13.3","16.5","19","1.6",,,,,,,,,"8.6","88","1890","-13.8","-26.1","9.3","16.8","1.8","32.7","85.3","2633","5.3","-47.9","-10.4","11.9","1.6","8.2","95.2","2271","-14.5","-17.8","12.4","19.2","1.4","16.2","89.6","2319","3.3","-27.1","6.7","7.7","1.6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Elder, Bryce",693821,2026,27,19.4,8.1,47.5,22,43.8,26.3,6.8,"R",48.4,"22.4","92.5","2230","-4.2","-16.4","15.4","16.1","1.2","24.1","83.1","2451","3.3","-42.7","-3.3","5.2","1.4","10.5","85.8","1473","-12","-33.4","3.9","13","1.1",,,,,,,,,"28.1","91.1","2086","-13.7","-24.9","8.1","16.1","1.3","14.9","88.6","2205","1.8","-24","10.5","10.8","1.2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ray, Robbie",592662,2026,34,20.4,11.7,43.2,24.8,36.8,34.1,6.9,"L",44.2,"33.3","93.2","2333","9.2","-14.2","17.4","19.8","1.3","24.4","85.9","2212","-1.4","-30.6","6.3","6.8","2.2","18.3","86","1618","10.8","-26.1","10.7","15.4","1.5","10.7","79.6","2181","-4","-50.1","-7","8.5","2.2","13.3","92.5","2219","14.4","-20.1","11.8","18.7","1.3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Martin, Davis",663436,2026,29,20.8,7.3,47.5,23.9,42.6,21.6,6.3,"R",35.9,"26.9","93.9","2411","-5.4","-16.9","14.1","15.2","1.4","13.6","87.1","2605","4.9","-34.7","1.2","5.6","1.3","14.1","90.2","2124","-13.4","-32.5","1.2","13.8","1.4","14.1","81.7","2879","14","-48.9","-7.8","16.2","1.4","18.3","92.8","2399","-14.2","-23.8","7.9","16.5","1.1","13","89.7","2574","1.8","-26.6","7.3","7.9","1.2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Imanaga, Shota",684007,2026,32,23.5,5.2,46.6,28.6,36.8,32.2,10.2,"L",38.7,"40.8","91.6","2497","11.1","-14.9","17.8","21","1.1","2.1","86.5","2481","-3.4","-29.4","6.9","8","1.3",,,,,,,,,"2.7","74.4","2515","-8.8","-63","-13.2","16.1","1.6","6.6","90.1","2462","16.4","-24","9.7","19.2","1.2",,,,,,,,,"32.8","82.9","1124","11.4","-33.6","6","13.3","1.1",,,,,,,,,"15","81.1","2537","-14","-42.3","-0.6","14.3","1.4",,,,,,,,,,,,,,,,,,,,,,,,
"Yamamoto, Yoshinobu",808967,2026,27,23.8,6,48.7,25.8,46.8,24.6,6.2,"R",40.4,"26.6","96.1","2244","-8.3","-13.5","16.2","18.3","1.2","6.3","87","2758","5.3","-33.6","2.3","6.5","1.7",,,,,,,,,"12.4","77.1","2819","12.6","-62.5","-15.9","20.4","1.7","12.7","95.4","2305","-14.5","-18.5","11.5","18.7","1.2","15","91.6","2455","3.1","-24.3","8.1","9.1","1.5","27.1","91.4","1439","-11.8","-30.7","1.9","12.3","1.3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Burke, Sean",680732,2026,26,27.6,7.1,49.5,26.2,36,30.3,9.1,"R",40.7,"37.5","94.9","2584","-4.5","-11.8","18.6","19.3","1.8","16.8","86.6","2519","5.5","-32.7","3.6","7","1.7","2.2","86","1840","-13.4","-26.9","10","16.9","1.5","20.7","79.5","2452","4.8","-57.4","-13.8","14.9","1.9","14.6","94.7","2401","-13","-15.9","14.7","19.7","1.5","8.3","90.1","2637","3.7","-24","9.5","10.5","1.5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Valdez, Framber",664285,2026,32,18.1,8.5,47.6,20.5,55,19.6,3.6,"L",42.4,"2.6","94.8","2172","6.1","-17.2","13","14.6","1.2","4.8","85.8","2426","-2.6","-36.9","0.1","3.6","1.8","18.5","89","1650","13.7","-32.1","2.4","14.3","1.6","29","78.4","2860","-12.8","-59.2","-14.4","19.3","1.4","45.1","93.8","2170","15.1","-25.3","5.8","16.3","1.4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
